id;person1_id;person2_id;marriage;separation;local;created_at;updated_at
16;22;29;1962-09-22;;"";2023-05-15 01:36:52 UTC;2023-06-04 02:52:54 UTC
134;425;426;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
135;431;432;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
136;427;428;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
137;433;434;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
138;435;436;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
139;439;440;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
140;441;442;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
141;441;444;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
142;624;640;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
143;551;577;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
144;474;481;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
145;475;527;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
146;542;572;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
147;503;535;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
148;471;630;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
149;536;638;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
150;450;530;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
151;631;658;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
152;578;613;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
153;455;569;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
154;502;659;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
155;456;628;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
156;595;641;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
157;540;580;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
158;519;538;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
159;568;650;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
160;477;656;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
161;484;661;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
162;457;532;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
163;488;618;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
164;543;576;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
165;619;649;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
166;464;494;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
167;496;594;;;;2023-05-15 01:36:58 UTC;2023-05-15 01:36:58 UTC
168;497;573;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
169;593;596;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
170;467;584;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
171;486;636;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
172;531;603;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
173;610;620;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
174;549;609;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
175;459;567;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
176;468;651;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
177;550;608;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
178;552;565;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
179;510;612;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
180;590;652;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
181;539;634;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
182;585;597;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
183;480;599;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
184;469;559;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
185;533;558;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
186;581;622;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
187;629;654;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
188;495;520;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
189;487;643;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
190;479;574;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
191;476;586;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
192;490;591;;;;2023-05-15 01:36:59 UTC;2023-05-15 01:36:59 UTC
193;463;547;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
194;604;617;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
195;451;604;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
196;460;473;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
197;522;611;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
198;545;561;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
199;521;553;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
200;515;592;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
201;560;621;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
